,LDA_Topic_0,LDA_Topic_1,LDA_Topic_2,LDA_Topic_3,LDA_Topic_4,LDA_Topic_5,LDA_Topic_6,LDA_Topic_7,LDA_Topic_8,LDA_Topic_9,LDA_Topic_10,LDA_Topic_11,LDA_Topic_12,LDA_Topic_13,LDA_Topic_14,LDA_Topic_15,LDA_Topic_16,LDA_Topic_17,LDA_Topic_18,LDA_Topic_19,LDA_Topic_20,LDA_Topic_21,LDA_Topic_22,LDA_Topic_23,LDA_Topic_24,LDA_Topic_25,LDA_Topic_26
블록,3.7677205e-06,5.7506666e-05,6.343869e-06,1.0511805e-05,1.9156983e-05,4.18251e-05,5.821606e-06,4.521349e-06,6.086283e-06,7.452302e-06,7.4232066e-06,1.1053715e-05,1.0413915e-05,0.00034553182,7.863771e-06,9.363732e-06,3.6229992e-06,3.6633435e-06,6.72216e-06,1.37802845e-05,0.0005423402,5.3231524e-06,8.058995e-06,7.649328e-05,5.1878214e-06,0.0002117077,3.970566e-05
사활,6.0660022e-06,0.0005121137,6.6090047e-06,9.955984e-06,1.904789e-05,1.0601583e-05,6.069106e-06,4.921439e-06,0.00016263708,3.1906653e-05,8.310434e-06,1.1258503e-05,9.299861e-06,4.9499595e-05,7.945123e-06,9.114357e-06,3.7095303e-06,0.00024859674,6.075117e-06,1.1501643e-05,4.095958e-06,4.2013744e-05,7.792542e-06,1.106992e-05,6.653659e-06,0.00011649193,3.9151473e-05
수입,4.045549e-06,2.679549e-06,6.56352e-06,6.8201657e-06,1.8671875e-05,1.0185167e-05,0.00031160508,4.546786e-06,6.2772765e-06,6.1136857e-06,7.399567e-06,1.1130614e-05,9.277989e-06,1.0537246e-05,0.00040267114,1.041978e-05,3.7069144e-06,0.00011587345,6.6202824e-06,1.1459058e-05,3.2674925e-06,0.00046144496,7.537727e-06,9.555392e-06,4.988701e-06,2.8578029e-06,0.0014081063
시선,5.445143e-06,3.2620044e-06,8.958427e-06,8.836343e-06,2.7062808e-05,1.27492485e-05,6.4830815e-06,4.829022e-06,0.0002956052,0.00035427572,1.0106533e-05,9.3134346e-05,1.3489006e-05,9.083773e-06,4.3150518e-05,0.000550581,9.954407e-06,0.0008126615,1.2194427e-05,1.120111e-05,0.00062528526,0.0001232209,3.10124e-05,3.2775737e-05,0.0002903352,3.6841484e-05,3.8536135e-05
실장,0.0007013654,2.5880177e-06,6.4999263e-06,6.946744e-06,1.8854616e-05,1.1426793e-05,0.0003216508,4.7164167e-06,0.00042848845,0.00015549368,7.4313116e-06,1.2065975e-05,9.548299e-06,5.891925e-05,7.88494e-06,9.601712e-06,8.344765e-05,4.078722e-06,0.0009598345,1.0866014e-05,3.682248e-06,8.344017e-05,1.3763344e-05,9.526949e-06,4.7977583e-06,2.2938619e-05,3.8752107e-05
안보,5.695367e-06,0.00033105974,7.5175612e-06,7.385122e-06,2.0221167e-05,0.00058715884,2.0828707e-05,4.859627e-06,0.00019563393,2.0181127e-05,8.355377e-06,1.1693587e-05,1.184118e-05,0.0002137192,4.8757956e-05,9.4599545e-06,3.7695756e-06,8.801274e-06,8.633597e-06,1.2085138e-05,3.87659e-06,0.0011626347,7.758379e-06,8.879213e-05,7.899156e-06,3.1551538e-06,4.27601e-05
윤리적,0.0003906692,0.0003288692,6.424295e-06,1.1910226e-05,2.3860779e-05,6.203982e-05,0.00021580895,5.4789684e-06,6.766265e-05,7.1477093e-06,0.0032244073,1.3810167e-05,1.806003e-05,1.1461915e-05,8.486845e-06,1.3448977e-05,6.32113e-06,0.00018312724,6.6527555e-06,1.3240305e-05,0.00015615452,3.943955e-05,9.455113e-06,1.3981753e-05,6.5821964e-06,0.00010332839,4.0949388e-05
이슈,0.0004414175,0.0015308458,0.00010610934,5.8242764e-05,2.695982e-05,3.786751e-05,0.00018899384,0.0001403012,0.0004371961,0.0014210993,0.00014923413,1.4871277e-05,3.0263296e-05,1.5930378e-05,6.441562e-05,0.0010234045,0.00014933353,0.00058496464,8.0752025e-06,1.8343784e-05,0.00022492178,0.0014594335,1.733585e-05,0.00083017495,0.0013095608,0.00020674642,0.0012431229
자본,2.5596688e-05,0.0017939896,7.97836e-06,1.0380324e-05,2.5234045e-05,1.1733638e-05,0.00038272436,2.731426e-05,6.511349e-06,7.233123e-06,1.46865e-05,2.2912094e-05,1.4540695e-05,2.063137e-05,1.2457967e-05,1.0997671e-05,4.120383e-06,0.00097111263,7.3730494e-06,1.2619369e-05,7.510174e-06,2.4809637e-05,2.3291403e-05,1.4480925e-05,0.00013353486,7.861355e-06,4.5526245e-05
증대,9.323956e-06,2.6249559e-06,8.487173e-06,6.9062644e-06,1.9220515e-05,1.1553578e-05,6.574922e-06,6.3274574e-06,6.144496e-06,7.5454736e-06,7.5984117e-06,0.000293544,0.0031566205,7.751597e-05,7.978495e-06,9.714227e-06,4.6919313e-06,9.462035e-06,7.3789306e-05,1.6036174e-05,3.7124512e-06,0.00038523815,1.9577219e-05,3.4745488e-05,0.00020463837,0.0012153083,3.844738e-05
진흥,4.086613e-06,2.758533e-06,8.33293e-06,4.2454794e-05,2.0415539e-05,1.1187304e-05,0.000739003,5.137758e-06,8.038162e-06,9.070589e-06,7.874824e-06,0.00030130116,1.2417638e-05,0.000100827994,8.343833e-06,1.011543e-05,3.544039e-05,8.843749e-06,6.1613355e-06,1.2105524e-05,3.4237023e-06,0.0008523243,1.1621532e-05,1.6283153e-05,0.00013011435,0.00025135875,3.8238573e-05
차별,5.0426456e-06,8.545068e-05,1.7560766e-05,0.0005275135,2.2514443e-05,1.1307451e-05,6.3153757e-06,4.9690298e-06,6.500103e-06,8.219682e-06,0.00021138835,1.1734745e-05,3.6644895e-05,5.8786864e-05,8.538239e-06,9.5700325e-06,4.0375735e-06,0.00095351174,6.804163e-06,1.7696346e-05,3.755045e-05,0.00077834644,9.684339e-05,0.00069420325,5.716154e-06,4.720129e-06,4.1755295e-05
각자,4.0046907e-06,0.00031200334,6.718609e-06,0.0002782495,1.9370491e-05,1.085953e-05,0.00027985324,4.766804e-06,0.000645337,8.150348e-06,9.12485e-06,1.23773125e-05,1.0858765e-05,5.249336e-06,7.8699695e-06,9.5695805e-06,0.00010671259,3.8065878e-06,6.2877493e-06,1.1043872e-05,0.000118114585,3.574247e-05,7.757225e-06,1.0691079e-05,2.4124272e-05,5.1395846e-06,4.057394e-05
게재,4.696004e-06,3.4661543e-06,6.4262963e-06,7.423074e-06,2.1732072e-05,1.061286e-05,6.540345e-06,4.536601e-05,0.00032173409,1.1071126e-05,7.756961e-06,1.1553184e-05,1.0034429e-05,5.154876e-06,7.950224e-06,9.226941e-06,4.1799776e-06,0.00042621064,6.353025e-06,1.2640412e-05,3.25098e-06,0.0001472056,7.560639e-06,1.1948749e-05,5.2581704e-06,0.00038781064,3.8288697e-05
계층,4.0783016e-06,3.2918156e-06,7.156677e-06,6.69762e-06,0.0006347596,1.4836654e-05,0.00015687224,5.137539e-06,0.00045204765,0.00016673001,1.3462616e-05,0.0010456386,1.0568071e-05,5.876683e-06,8.074152e-06,1.0388447e-05,7.0251326e-06,5.020468e-06,6.7485676e-06,1.1950255e-05,3.4357797e-06,0.00092903693,8.482328e-06,1.0267888e-05,0.00035936743,2.4508765e-06,0.0013692293
