,BERT_Topic_0,BERT_Topic_1,BERT_Topic_2,BERT_Topic_3,BERT_Topic_4,BERT_Topic_5,BERT_Topic_6,BERT_Topic_7,BERT_Topic_8,BERT_Topic_9,BERT_Topic_10,BERT_Topic_11,BERT_Topic_12,BERT_Topic_13,BERT_Topic_14,BERT_Topic_15,BERT_Topic_16
논쟁,0.38265482,0.42596647,0.374446,0.31892365,0.31268328,0.1934354,0.23686409,0.35142002,0.3387437,0.29943272,0.3242399,0.31352338,0.26244092,0.27094883,0.20129092,0.34601212,0.19878562
놀이,0.33646888,0.2974464,0.29506463,0.36275047,0.43611795,0.30943248,0.19522288,0.31907868,0.28860828,0.21814823,0.31523398,0.2798813,0.25004202,0.2345867,0.2323013,0.35718828,0.26283324
농업,0.1880798,0.18296336,0.23537454,0.15186127,0.11540553,0.10704748,0.1554935,0.11946294,0.20144093,0.21100917,0.16460805,0.15157697,0.06301093,0.16313866,0.04947923,0.14716892,0.07588287
뇌파,0.32594365,0.3045988,0.28514704,0.31113654,0.29363412,0.23200524,0.23824394,0.34415913,0.2936098,0.26035744,0.2608505,0.24154526,0.2705018,0.22973964,0.18709303,0.24924609,0.2254437
누적,0.43932503,0.4047631,0.35336888,0.53467035,0.38346618,0.304923,0.2806025,0.45337543,0.43511268,0.37207687,0.32029712,0.30120343,0.41316733,0.30165413,0.37163973,0.41600466,0.26852223
눈길,0.33651632,0.314664,0.25165784,0.3918692,0.29570743,0.22086003,0.21539122,0.3590592,0.30239385,0.2731778,0.24931717,0.24630219,0.28938803,0.2095921,0.23781496,0.28740624,0.21619703
눈높이,0.44705665,0.40538228,0.33507955,0.5952302,0.36659658,0.29969686,0.29319966,0.48464313,0.4570226,0.39617068,0.28234023,0.3053815,0.43863517,0.3236924,0.42930496,0.41588175,0.26406923
눈동자,0.33799228,0.31694865,0.25678012,0.37326825,0.2889209,0.22958043,0.20016819,0.35693502,0.30129856,0.26298612,0.26104805,0.23876517,0.28769758,0.21122268,0.22649306,0.27940744,0.22153112
눈앞,0.3591857,0.353674,0.28758222,0.34909832,0.32908946,0.23657042,0.22785598,0.36137757,0.30139744,0.27059996,0.30571958,0.30961424,0.24977806,0.23694208,0.20684019,0.3183949,0.23163071
느낌,0.23728669,0.20863877,0.19537607,0.29567006,0.25685748,0.11745837,0.15282571,0.228441,0.18416154,0.20336759,0.15085489,0.1485877,0.18168718,0.14636317,0.18885118,0.19350027,0.13226125
